,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month
398,2737,2022-02-01,True,18.0,$18.00,7.0,1125.0,2022,2
399,2737,2022-02-02,True,18.0,$18.00,7.0,1125.0,2022,2
400,2737,2022-02-03,True,18.0,$18.00,7.0,1125.0,2022,2
401,2737,2022-02-04,True,30.0,$30.00,7.0,1125.0,2022,2
402,2737,2022-02-05,True,30.0,$30.00,7.0,1125.0,2022,2
403,2737,2022-02-06,True,18.0,$18.00,7.0,1125.0,2022,2
404,2737,2022-02-07,True,18.0,$18.00,7.0,1125.0,2022,2
405,2737,2022-02-08,True,18.0,$18.00,7.0,1125.0,2022,2
406,2737,2022-02-09,True,18.0,$18.00,7.0,1125.0,2022,2
407,2737,2022-02-10,True,18.0,$18.00,7.0,1125.0,2022,2
408,2737,2022-02-11,True,30.0,$30.00,7.0,1125.0,2022,2
409,2737,2022-02-12,True,30.0,$30.00,7.0,1125.0,2022,2
783,78314,2022-02-01,False,76.0,$76.00,3.0,60.0,2022,2
784,78314,2022-02-02,False,76.0,$76.00,3.0,60.0,2022,2
785,78314,2022-02-03,False,76.0,$76.00,3.0,60.0,2022,2
786,78314,2022-02-04,False,76.0,$76.00,3.0,60.0,2022,2
787,78314,2022-02-05,False,76.0,$76.00,3.0,60.0,2022,2
788,78314,2022-02-06,False,76.0,$76.00,3.0,60.0,2022,2
789,78314,2022-02-07,False,76.0,$76.00,3.0,60.0,2022,2
790,78314,2022-02-08,False,76.0,$76.00,3.0,60.0,2022,2
791,78314,2022-02-09,False,76.0,$76.00,3.0,60.0,2022,2
792,78314,2022-02-10,False,76.0,$76.00,3.0,60.0,2022,2
793,78314,2022-02-11,False,76.0,$76.00,3.0,60.0,2022,2
794,78314,2022-02-12,False,76.0,$76.00,3.0,60.0,2022,2
1223,2903,2022-02-01,True,37.0,$37.00,1.0,730.0,2022,2
1224,2903,2022-02-02,True,37.0,$37.00,1.0,730.0,2022,2
1225,2903,2022-02-03,True,37.0,$37.00,1.0,730.0,2022,2
1226,2903,2022-02-04,True,37.0,$37.00,1.0,730.0,2022,2
1227,2903,2022-02-05,True,37.0,$37.00,1.0,730.0,2022,2
1228,2903,2022-02-06,True,37.0,$37.00,1.0,730.0,2022,2
1229,2903,2022-02-07,True,37.0,$37.00,1.0,730.0,2022,2
1230,2903,2022-02-08,True,37.0,$37.00,1.0,730.0,2022,2
1231,2903,2022-02-09,True,37.0,$37.00,1.0,730.0,2022,2
1232,2903,2022-02-10,True,37.0,$37.00,1.0,730.0,2022,2
1233,2903,2022-02-11,True,37.0,$37.00,1.0,730.0,2022,2
1743,78697,2022-02-01,True,95.0,$95.00,4.0,1125.0,2022,2
1744,78697,2022-02-02,True,95.0,$95.00,4.0,1125.0,2022,2
1745,78697,2022-02-03,True,95.0,$95.00,4.0,1125.0,2022,2
1746,78697,2022-02-04,True,95.0,$95.00,4.0,1125.0,2022,2
1747,78697,2022-02-05,True,95.0,$95.00,4.0,1125.0,2022,2
1748,78697,2022-02-06,True,95.0,$95.00,4.0,1125.0,2022,2
1749,78697,2022-02-07,True,95.0,$95.00,4.0,1125.0,2022,2
